DATE	PET	P	T	Q
14/12/1990	5.187033333	4.129333333	12.562	1.625746667
15/12/1990	4.633533333	18.066	14.732	1.577746667
16/12/1990	3.637533333	12.608	18.76466667	1.487293333
17/12/1990	2.0178	12.099	20.00966667	1.537706667
18/12/1990	4.201	10.11666667	20.40366667	1.502386667
19/12/1990	5.126533333	8.422333333	22.84566667	1.529853333
20/12/1990	2.9012	0.149333333	19.557	1.762546667
21/12/1990	3.7926	-0.085666667	11.77933333	2.360853333
22/12/1990	2.5669	4.566	15.761	3.3672
23/12/1990	3.020133333	0.327333333	13.31866667	4.78684
24/12/1990	2.514833333	7.940666667	14.98733333	5.879426667
25/12/1990	4.027266667	6.040666667	14.22466667	6.860213333
26/12/1990	2.430833333	3.866666667	16.38166667	7.752893333
27/12/1990	3.104966667	5.630333333	18.881	8.302106667
28/12/1990	1.961766667	5.511333333	17.55866667	8.160506667
29/12/1990	4.6821	0.105333333	17.14066667	8.161
30/12/1990	5.567133333	0.306666667	15.19533333	8.345316667
31/12/1990	6.5851	6.048666667	15.52133333	8.155955556
